Sample ID	Input Reads	Uniquely Mapped Reads
Human_Normal_Tissues-capt-SI_13295-C90DVANXX	36858984	24348553
Human_Normal_Tissues-capt-SI_13296-C90DVANXX	37654560	24725959
Human_Normal_Tissues-capt-SI_13297-C90DVANXX	38670127	27654922
MO_1117-capt-SI_7207-D27AFACXX	62631484	53134684
MO_1136-capt-SI_6231-D1RRKACXX	77159735	50697530
MO_1210-capt-SI_6981-C24VEACXX	64231867	54220317
MO_1264-capt-SI_7451-C2G6HACXX	72249637	57976985
MO_1402-capt-SI_9128-C46PDANXX	63077006	53814930
MO_1462-capt-SI_10150-C6EHCANXX	65450001	55184818
MO_1462-capt-SI_10742-C6UUJANXX	62197488	45355048
MO_1550-capt-SI_12296-H523KADXX	60329845	34981546
MO_1552-capt-SI_12339-H523TADXX	63172992	37958098
PO_3020-capt-SI_6030-D1E7VACXX	56252515	45792920
PO_3025-capt-SI_6229-D1RRKACXX	58473620	41749775
PO_3029-capt-SI_6470-C1N5FACXX	67668929	51807479
PO_3051-capt-SI_7268-D2GEDACXX	73783775	63436445
PO_3079-capt-SI_8330-C46WVANXX	38410803	24907095
PO_3083-capt-SI_8403-C4L1DACXX	67817300	55422444
PO_3090-capt-SI_11544-HVC2TADXX	58332746	38580482
PO_3090-capt-SI_8978-C472MANXX	68894351	60704720
TP_2008-capt-SI_5933-D1E1PACXX	85697987	62657670
TP_2038-capt-SI_6707-D2GC3ACXX	23318019	19971302
TP_2038-capt-SI_6707-H0UUFADXX	45770815	39080873
Human_Normal_Tissues-capt-SI_13213-C8LJ8ANXX	40578478	28344289
MO_1034-capt-SI_4976-C0L92ACXX	96537233	82737272
MO_1108-capt-SI_6356-C1N0NACXX	68959333	55629352
MO_1111-capt-SI_5897-D1DPVACXX	65259954	53322962
MO_1119-capt-SI_6075-D1EC1ACXX	73719894	58743602
MO_1125-capt-SI_6219-C1MR4ACXX	60400552	38655344
MO_1150-capt-SI_6586-D1PYGACXX	77543290	67696991
MO_1163-capt-SI_6568-D1RV8ACXX	60547356	50668307
MO_1177-capt-SI_6699-D2GC3ACXX	24882908	20417814
MO_1177-capt-SI_6699-H0UUFADXX	45393687	37149571
MO_1189-capt-SI_6858-H77PAADXX	62904603	42730112
MO_1194-capt-SI_6862-H77PRADXX	66116968	53348770
MO_1206-capt-SI_6969-C26D0ACXX	69744643	56581247
MO_1209-capt-SI_6971-C26D0ACXX	56906950	47749962
MO_1236-capt-SI_7208-C245WACXX	61779667	45918999
MO_1250-capt-SI_7353-D2GK3ACXX	64464392	45973261
MO_1253-capt-SI_12584-C8LK0ANXX	48211588	31343637
MO_1253-capt-SI_8631-C5A4VACXX	60400747	50707455
MO_1286-capt-SI_7685-C33JEACXX	64329811	51111647
MO_1294-capt-SI_7777-C3L7FACXX	59616935	47219225
MO_1315-capt-SI_7992-C4CW0ACXX	102948295	76638633
MO_1325-capt-SI_8160-C4JLUACXX	69317369	51555001
MO_1344-capt-SI_8322-C46WVANXX	38970748	34904031
MO_1344-capt-SI_8322-H9TBMADXX	16762315	14721423
MO_1397-capt-SI_8886-C4739ANXX	55683672	42659526
MO_1433-capt-SI_9688-C5N0MANXX	71152623	57035346
MO_1558-capt-SI_12475-C7G91ANXX	41317055	26934540
PO_3010-capt-SI_5562-D131LACXX	67007273	61532064
PO_3010-capt-SI_6708-H15U7ADXX	40944108	32808485
TP_2024-capt-SI_6022-D1EBEACXX	64981716	53279109
TP_2043-capt-SI_7127-D27KNACXX	55312866	45243787
TP_2052-capt-SI_7782-C3L7FACXX	62283997	53607916
PO_3033-capt-SI_6358-C1MM1ACXX	66679993	53138124
PO_3039-capt-SI_6709-D2GC3ACXX	25247540	23008258
PO_3039-capt-SI_6709-H0UUFADXX	47711171	43383217
PO_3053-capt-SI_7406-C2GDFACXX	63315268	59510682
Human_Normal_Tissues-capt-SI_13298-C90DVANXX	47490862	31916816
Human_Normal_Tissues-capt-SI_13299-C90DVANXX	48915064	35844229
Human_Normal_Tissues-capt-SI_13300-C90DVANXX	46814422	34473694
